ProductID,ProductName,Color,ModelDescription,FabricDescription,Category,Gender,ProductLine,Weight,Size,PackSize,Status,InventoryDate,PurchasePrice,Año,Mes,Mes/Año
1,3-182,Sin definir,AT,182,Undershirts,Girls' Undershirts,Underwear,822.0,3,Dozen,In Production,2003-07-10,6.6,2003,7,7/2003
2,3-183,Sin definir,AT,183,Undershirts,Girls' Undershirts,Underwear,620.0,3,Dozen,Out of Production,2003-07-10,5.6,2003,7,7/2003
3,3-184,Sin definir,AT,184,Undershirts,Girls' Undershirts,Underwear,718.0,3,Dozen,In Production,2003-07-10,6.3,2003,7,7/2003
4,3-185,Sin definir,AT,185,Undershirts,Boys' Undershirts,Underwear,820.0,3,Dozen,In Production,2003-07-10,5.6,2003,7,7/2003
5,3-A30N,Sin definir,A,30,Briefs,Girls' Panties,Underwear,214.0,3,Dozen,Out of Production,2003-08-06,3.3,2003,8,8/2003
6,3-BX34,Sin definir,BX,34,Boxers,Boys' Briefs,Underwear,55.0,3,Single Unit,Out of Production,2003-07-10,0.62,2003,7,7/2003
7,3-BX64,Sin definir,BX,64,Boxers,Boys' Briefs,Underwear,55.0,3,Single Unit,Out of Production,2003-08-06,0.47,2003,8,8/2003
8,3-ERK33,Sin definir,ERK,33,Briefs,Boys' Briefs,Underwear,389.0,3,Dozen,Out of Production,2003-07-10,3.25,2003,7,7/2003
9,3-ERK61,Sin definir,ERK,61,Briefs,Boys' Briefs,Underwear,325.0,3,Dozen,In Production,2003-07-10,2.7,2003,7,7/2003
10,3-ERK63,Sin definir,ERK,63,Briefs,Boys' Briefs,Underwear,340.0,3,Dozen,In Production,2003-07-10,2.55,2003,7,7/2003
11,3-GB31,Sin definir,GB,31,Briefs,Girls' Panties,Underwear,370.0,3,Dozen,Out of Production,2003-07-10,2.65,2003,7,7/2003
12,3-GB31E,Sin definir,GB,31,Briefs,Girls' Panties,Underwear,345.0,3,Dozen,Out of Production,2003-08-06,2.75,2003,8,8/2003
13,3-GB32,Sin definir,GB,32,Briefs,Girls' Panties,Underwear,330.0,3,Dozen,Out of Production,2003-07-10,2.65,2003,7,7/2003
14,3-GB32E,Sin definir,GB,32,Briefs,Girls' Panties,Underwear,359.0,3,Dozen,Out of Production,2003-07-10,2.75,2003,7,7/2003
15,3-GB92,Sin definir,GB,92,Briefs,Girls' Panties,Underwear,294.0,3,Dozen,Out of Production,2003-07-10,2.15,2003,7,7/2003
16,3-K203,Sin definir,K,203,Briefs,Girls' Panties,Underwear,280.0,3,Dozen,Out of Production,2003-07-10,2.7,2003,7,7/2003
17,3-K21,Sin definir,K,21,Briefs,Girls' Panties,Underwear,281.0,3,Dozen,In Production,2003-07-10,2.7,2003,7,7/2003
18,3-K213,Sin definir,K,213,Briefs,Girls' Panties,Underwear,269.0,3,Dozen,Out of Production,2003-07-10,2.65,2003,7,7/2003
19,3-K218,Sin definir,K,218,Briefs,Girls' Panties,Underwear,280.0,3,Dozen,Out of Production,2003-07-10,2.75,2003,7,7/2003
20,3-K21E,Sin definir,K,21,Briefs,Girls' Panties,Underwear,276.0,3,Dozen,In Production,2003-07-10,2.8,2003,7,7/2003
21,3-K22,Sin definir,K,22,Briefs,Girls' Panties,Underwear,381.0,3,Dozen,Out of Production,2003-08-06,2.0,2003,8,8/2003
22,3-K22E,Sin definir,K,22,Briefs,Girls' Panties,Underwear,281.0,3,Dozen,Out of Production,2003-07-10,2.1,2003,7,7/2003
23,3-K23,Sin definir,K,23,Briefs,Girls' Panties,Underwear,242.0,3,Dozen,In Production,2003-07-10,2.5,2003,7,7/2003
24,3-K23E,Sin definir,K,23,Briefs,Girls' Panties,Underwear,271.0,3,Dozen,In Production,2003-08-06,2.6,2003,8,8/2003
25,3-K24E,Sin definir,K,24,Briefs,Girls' Panties,Underwear,330.0,3,Dozen,In Production,2003-08-06,2.7,2003,8,8/2003
