PurchaseOrderID,SupplierID,EmployeeID,ShippingMethodID,OrderDate,Año,Mes,Dia,Mes/Año
25,1,1,3,2003-10-15,2003,10,15,10/2003
27,1,1,3,2003-09-16,2003,9,16,9/2003
28,1,1,3,2003-09-17,2003,9,17,9/2003
29,1,1,3,2003-09-17,2003,9,17,9/2003
30,1,1,3,2003-09-17,2003,9,17,9/2003
31,1,1,3,2003-09-20,2003,9,20,9/2003
32,1,1,3,2003-09-20,2003,9,20,9/2003
33,1,1,3,2003-09-26,2003,9,26,9/2003
34,1,1,3,2003-09-30,2003,9,30,9/2003
35,1,1,3,2003-10-04,2003,10,4,10/2003
36,1,3,3,2003-10-22,2003,10,22,10/2003
37,1,3,3,2003-10-11,2003,10,11,10/2003
38,1,3,3,2003-10-25,2003,10,25,10/2003
39,1,1,3,2003-11-15,2003,11,15,11/2003
41,1,6,3,2003-12-02,2003,12,2,12/2003
42,1,6,3,2003-12-02,2003,12,2,12/2003
44,1,6,3,2003-12-17,2003,12,17,12/2003
45,1,6,3,2003-12-17,2003,12,17,12/2003
46,1,6,2,2003-12-31,2003,12,31,12/2003
48,1,6,3,2004-01-14,2004,1,14,1/2004
49,1,6,3,2004-01-23,2004,1,23,1/2004
52,1,6,3,2004-02-09,2004,2,9,2/2004
53,1,6,3,2004-02-13,2004,2,13,2/2004
54,1,6,3,2004-02-21,2004,2,21,2/2004
55,1,6,2,2004-03-03,2004,3,3,3/2004
57,1,6,3,2004-03-16,2004,3,16,3/2004
59,1,2,3,2004-03-18,2004,3,18,3/2004
60,1,6,2,2004-03-26,2004,3,26,3/2004
61,1,6,3,2004-03-27,2004,3,27,3/2004
62,1,6,3,2004-03-31,2004,3,31,3/2004
65,1,6,2,2004-04-19,2004,4,19,4/2004
67,1,6,3,2004-04-10,2004,4,10,4/2004
68,1,6,3,2004-04-10,2004,4,10,4/2004
69,1,6,3,2004-04-03,2004,4,3,4/2004
73,1,6,3,2004-04-17,2004,4,17,4/2004
74,1,6,2,2004-05-06,2004,5,6,5/2004
75,1,6,3,2004-04-22,2004,4,22,4/2004
76,1,6,3,2004-04-24,2004,4,24,4/2004
79,1,6,2,2004-06-20,2004,6,20,6/2004
80,1,6,2,2004-05-12,2004,5,12,5/2004
81,1,6,2,2004-05-20,2004,5,20,5/2004
82,1,6,2,2004-05-20,2004,5,20,5/2004
83,1,6,2,2004-05-20,2004,5,20,5/2004
84,1,6,2,2004-05-29,2004,5,29,5/2004
86,1,6,2,2004-06-01,2004,6,1,6/2004
87,1,6,2,2004-06-02,2004,6,2,6/2004
88,1,6,2,2004-06-09,2004,6,9,6/2004
89,1,6,2,2004-06-11,2004,6,11,6/2004
90,1,6,2,2004-06-21,2004,6,21,6/2004
91,1,6,2,2004-06-23,2004,6,23,6/2004
92,1,6,2,2004-06-23,2004,6,23,6/2004
96,1,6,2,2004-07-09,2004,7,9,7/2004
97,1,6,2,2004-07-13,2004,7,13,7/2004
99,1,6,2,2004-07-03,2004,7,3,7/2004
100,1,6,2,2004-07-02,2004,7,2,7/2004
101,1,6,2,2004-06-30,2004,6,30,6/2004
102,1,6,2,2004-06-22,2004,6,22,6/2004
103,1,6,2,2004-06-26,2004,6,26,6/2004
104,1,6,2,2004-07-10,2004,7,10,7/2004
105,1,6,2,2004-07-10,2004,7,10,7/2004
